;AUT;CMUNI;CONEIX_ABASCAL;CONEIX_CASADO;CONEIX_IGLESIAS;CONEIX_RIVERA;CONEIX_SANCHEZ;CP;EDAT;EDATCOD;ESTUDIS;HABI;IDEOLOGIA;ID_AUT;ID_CONEIX_ABASCAL;ID_CONEIX_CASADO;ID_CONEIX_IGLESIAS;ID_CONEIX_RIVERA;ID_CONEIX_SANCHEZ;ID_CONTACTO;ID_EDATCOD;ID_ESTUDIS;ID_HABI;ID_IDEOLOGIA;ID_IMP_ELEC;ID_INT_GEN;ID_INT_SIMP_GEN;ID_OCUPACIO;ID_PERTINEN;ID_PREFER_POLITIC;ID_PROB_VOT_GEN;ID_REC_GEN;ID_SEXE;ID_SIMP_GEN;IMP_ELEC;INT_GEN;INT_SIMP_GEN;OCUPACIO;PERTINEN;PREFER_POLITIC;PROB_VOT_GEN;REC_GEN;REGISTRO;SEXE;SIMP_GEN;TIP_TEL;VAL_ABASCAL;VAL_CASADO;VAL_IGLESIAS;VAL_RIVERA;VAL_SANCHEZ
0;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28053;29;De 18 a 29 años;Obligatorios;Más de 500.000;Centro;13;1;1;1;1;1;4371986;1;2;4;3;2;96;1;1;5;1;2;1;2;1.0;Bastante importantes;En blanco;PP;Trabajador;Únicamente de su comunidad;Pablo Casado;Probablemente votaría;PP;4;Mujer;PP;Móviles aleatorios;4.0;3.0;0.0;5.0;1.0
1;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28017;41;De 30 a 44 años;Universitarios;Más de 500.000;Centro;13;1;1;1;1;1;4372758;2;5;4;3;1;97;4;1;3;4;3;4;2;4.0;Muy importantes;No votaría;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Probablemente no votaría;C's;5;Mujer;C's;Móviles aleatorios;0.0;1.0;3.0;4.0;4.0
2;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28043;50;De 45 a 59 años;Universitarios;Más de 500.000;No sabe;13;1;1;1;1;1;4367939;3;5;4;98;98;97;97;1;3;97;4;97;1;97.0;No sabe;No votaría;Ninguno;Trabajador;Tan español como de su comunidad;Ninguno de estos;Seguro que no votaría;No votó;6;Hombre;Ninguno;Móviles aleatorios;5.0;5.0;5.0;7.53522554485555;5.0
3;Galicia;99995;Sí;Sí;Sí;Sí;Sí;36001;46;De 45 a 59 años;Postobligatorios profesionales;De 10.001 a 100.000;Centro derecha;12;1;1;1;1;1;4370221;3;4;2;4;1;1;1;1;3;1;1;1;2;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;27;Mujer; ;Móviles aleatorios;2.0;7.0;0.0;5.0;0.0
4;Madrid, Comunidad de;28079;Sí;Sí;Sí;No;Sí;28021;48;De 45 a 59 años;Obligatorios;Más de 500.000;Centro;13;1;1;1;2;1;4389758;3;2;4;3;1;2;2;1;5;2;1;97;1;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente de su comunidad;Pedro Sánchez;Votaría seguro;No votó;28;Hombre; ;Móviles aleatorios;4.0;5.0;5.0;4.454059863915515;10.0
5;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28223;42;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro derecha;13;1;1;1;1;1;4388604;2;5;2;4;1;14;14;1;1;14;1;1;2;;Muy importantes;Vox;Vox;Trabajador;Únicamente español;Santiago Abascal;Votaría seguro;PP;31;Mujer; ;Móviles aleatorios;8.0;7.0;3.0;6.0;1.0
6;Andalucía;99995;No;Sí;Sí;Sí;Sí;11550;37;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro izquierda;1;2;1;1;1;1;4388617;2;5;2;2;4;98;98;5;3;4;1;4;2;98.0;Nada importantes;No sabe;No sabe;Parado;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;33;Mujer;No sabe;Móviles aleatorios;3.093561417800859;1.0;3.0;5.0;4.0
7;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;18007;76;De 60 y más años;Obligatorios;De 100.001 a 500.000;Centro derecha;1;1;1;1;1;1;4371773;4;2;3;4;1;14;14;6;3;14;1;4;1;;Muy importantes;Vox;Vox;Jubilado, pensionista;Tan español como de su comunidad;Santiago Abascal;Votaría seguro;C's;36;Hombre; ;Móviles aleatorios;10.0;9.0;0.0;8.0;0.0
8;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;48220;66;De 60 y más años;Postobligatorios profesionales;Hasta 10.000;Izquierda;16;1;1;1;1;1;4392024;4;4;1;1;1;2;2;6;5;2;1;9;1;;Muy importantes;PSOE;PSOE;Jubilado, pensionista;Únicamente de su comunidad;Pedro Sánchez;Votaría seguro;PNV;38;Hombre; ;Móviles aleatorios;0.0;0.0;7.0;0.0;9.0
9;País Vasco;99995;No;No;Sí;Sí;Sí;20305;46;De 45 a 59 años;Postobligatorios profesionales;De 10.001 a 100.000;No sabe;16;2;2;1;1;1;4373776;3;4;2;98;4;98;97;1;3;5;1;97;1;97.0;Nada importantes;No sabe;Ninguno;Trabajador;Tan español como de su comunidad;Pablo Iglesias;Votaría seguro;No votó;39;Hombre;Ninguno;Móviles aleatorios;3.093561417800859;3.894485893630233;8.0;0.0;2.0
10;Andalucía;29067;Sí;Sí;Sí;Sí;Sí;29002;60;De 60 y más años;Postobligatorios;Más de 500.000;Centro derecha;1;1;1;1;1;1;4379175;4;3;4;4;1;14;14;1;3;14;1;1;1;;Muy importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Santiago Abascal;Votaría seguro;PP;42;Hombre; ;Móviles aleatorios;10.0;6.0;2.0;8.0;2.0
11;Canarias;99995;No;No;Sí;No;Sí;38680;20;De 18 a 29 años;Obligatorios;De 10.001 a 100.000;No sabe;5;2;2;1;2;1;4379344;1;2;2;98;98;98;97;5;5;98;1;97;1;97.0;No sabe;No sabe;Ninguno;Parado;Únicamente de su comunidad;No sabe;Votaría seguro;No votó;43;Hombre;Ninguno;Móviles aleatorios;3.093561417800859;3.894485893630233;5.0;4.454059863915515;7.0
12;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;99999;45;De 45 a 59 años;Postobligatorios;De 100.001 a 500.000;Derecha;16;1;1;1;1;1;4378124;3;3;3;5;1;14;14;1;1;14;1;1;1;;Muy importantes;Vox;Vox;Trabajador;Únicamente español;Santiago Abascal;Votaría seguro;PP;44;Hombre; ;Móviles aleatorios;9.0;5.0;0.0;1.0;0.0
